Date,BC(370),BC(880),NO,NO2,NOx,PM10,RH,Temp,WS
2017-11-13,2056.0,1797.33,,,,18.5,,,3.0
2017-11-14,2669.0,2383.0,,,,20.6,,,2.3
2017-11-15,3142.83,2601.67,,,,10.6,,,3.0
2017-11-16,2286.5,1759.67,,,,13.2,,,3.3
2017-11-17,1074.83,968.5,,,,23.2,,,2.5
2017-11-18,709.0,577.0,,,,17.8,,,5.9
2017-11-19,1398.5,1157.83,,,,9.1,,,3.9
2017-11-20,1418.67,1108.0,,,,13.0,,,2.9
2017-11-21,2526.17,2061.0,,,,23.8,,,3.1
2017-11-22,2536.33,2044.33,,,,25.1,,,2.6
2017-11-23,2822.17,2192.5,,,,16.9,,,2.6
2017-11-24,1115.0,863.33,,,,25.0,,,1.9
2017-11-25,1597.17,744.0,,,,20.4,,,2.1
2017-11-26,1709.5,1399.5,,,,16.4,,,2.8
2017-11-27,1717.33,1425.83,,,,16.1,,,3.0
2017-11-28,1424.5,1223.17,,,,12.0,,,2.2
2017-11-29,2421.0,2034.0,,,,15.2,,,2.3
2017-11-30,2960.83,2370.67,,,,24.2,,,2.7
2017-12-01,1773.67,1320.5,,,,20.3,,,2.9
2017-12-02,1422.17,815.17,,,,11.9,,,2.7
2017-12-03,1613.83,1353.5,,,,10.9,,,2.1
2017-12-04,2303.17,1989.5,,,,20.8,,,2.9
2017-12-05,2013.0,1712.83,,,,16.3,,,2.8
2017-12-06,2036.17,1699.17,,,,28.9,,,2.6
2017-12-07,2775.17,2117.67,,,,20.5,,,3.0
2017-12-08,2669.5,1245.0,,,,24.8,,,3.2
2017-12-09,1777.0,1430.33,,,,18.6,,,3.5
2017-12-10,2618.33,2302.5,,,,25.8,,,2.0
2017-12-11,602.33,482.67,,,,19.5,,,3.5
2017-12-12,1995.0,1600.17,,,,17.1,,,3.1
2017-12-13,1424.67,1165.83,,,,18.3,,,3.5
2017-12-14,1441.17,1043.83,,,,15.9,,,2.3
2017-12-15,3353.5,2217.67,,,,21.6,,,2.7
2017-12-16,688.33,533.5,,,,18.8,,,2.7
2017-12-17,1863.67,1458.5,,,,18.9,,,2.3
2017-12-18,1150.0,904.17,,,,19.7,,,3.3
2017-12-19,193.83,162.83,,,,22.4,,,4.0
2017-12-20,1225.83,944.17,,,,27.5,,,3.8
2017-12-21,1141.33,990.83,,,,22.3,,,3.9
2017-12-22,863.5,672.83,,,,22.9,,,2.3
2017-12-23,512.0,335.5,,,,22.6,,,3.3
2017-12-24,1126.5,437.17,,,,16.4,,,3.0
2017-12-25,172.17,224.5,,,,14.3,,,3.2
2017-12-26,564.83,465.67,,,,14.6,,,3.6
2017-12-27,573.83,488.83,,,,24.5,,,2.6
2017-12-28,620.5,482.0,,,,25.6,,,2.9
